station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
408,237 - BNH Vila Madalena,-23.55435409,-46.69622889,4,15,0.26666666666666666,0.7333333333333334,0.26666666666666666,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.1505827017630925
409,320 - Av. Jandira,-23.6064909,-46.663251,5,15,0.3333333333333333,0.6666666666666667,0.3333333333333333,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.34147545057955725
410,282 - Cunha Horta,-23.546229818994608,-46.64839843168885,3,15,0.2,0.8,0.2,-1,True,Centro,57123,4500,5712.3,4.569780326897259,-4.369780326897259
411,235 - CPTM Hebraica Rebouças,-23.57306366,-46.69823431,2,17,0.11764705882352941,0.8823529411764706,0.11764705882352941,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.2996023096062297
412,156 - Praça Dom Orione,-23.55988804,-46.64540098,1,11,0.09090909090909091,0.9090909090909091,0.09090909090909091,-1,True,Bela Vista,63190,6200,6319.0,3.1628822441928426,-3.0719731532837518
414,2 - SESC Pinheiros,-23.56692,-46.69819,6,15,0.4,0.6,0.4,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.0172493684297592
421,312 - Parque da Bicicletas,-23.6005561179321,-46.6577541150754,4,15,0.26666666666666666,0.7333333333333334,0.26666666666666666,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.2748087839128906
422,130 - Afonso Braz,-23.5958920911892,-46.6641781648402,4,19,0.21052631578947367,0.7894736842105263,0.21052631578947367,-1,True,Moema,83368,9800,8336.8,-0.008142117246223934,0.2186684330356976
435,39 - Rua Jesuino Arruda,-23.581559891340504,-46.67270008886336,5,15,0.3333333333333333,0.6666666666666667,0.3333333333333333,-1,False,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.9068204089918575
444,142 - Minhocão,-23.5317430614974,-46.6591867859776,6,15,0.4,0.6,0.4,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.7854807608689698
446,290 - Metrô Marechal Deodoro,-23.5337422,-46.657056,11,19,0.5789473684210527,0.42105263157894735,0.5789473684210527,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.606533392447917
450,67 - Matarazzo,-23.5302119408073,-46.6661266859547,4,15,0.26666666666666666,0.7333333333333334,0.26666666666666666,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.918814094202303
452,407 - Praça Luis Eulalio,-23.59828,-46.67307,17,19,0.8947368421052632,0.10526315789473684,0.8947368421052632,-1,False,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,1.00341335742253
458,56 - Henrique Schaumann,-23.5578862207592,-46.6818450911924,1,11,0.09090909090909091,0.9090909090909091,0.09090909090909091,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.721890702852974
464,159 - Metrô São Joaquim,-23.562835382084767,-46.63829651323418,10,19,0.5263157894736842,0.4736842105263158,0.5263157894736842,-1,False,Liberdade,69092,5800,6909.2,3.3022247738891917,-2.7759089844155076
465,270 - Praça Portugal,-23.5645330138706,-46.6780573829128,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.3582543392166104
467,281 - Rua Cel. Joaquim Ferreira Lobo II,-23.59280085840878,-46.680180769805894,0,35,0.0,1.0,0.0,0,True,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,0.10867651531726685
468,287 - Largo Padre Péricles,-23.5312748251908,-46.6630801969376,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.718814094202303
469,311 - Luis Góis,-23.6042263595434,-46.6369958975112,12,15,0.8,0.19999999999999996,0.8,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.808142117246224
473,166 - Metrô Higienópolis Mackenzie,-23.5490344,-46.6516461,4,11,0.36363636363636365,0.6363636363636364,0.36363636363636365,-1,False,Consolação,57365,7500,5736.5,2.360700773354271,-1.997064409717907
474,271 - Rua Pedroso de Moraes,-23.568702,-46.687872,9,15,0.6,0.4,0.6,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.8172493684297591
475,291 - Praça Olavo Bilac,-23.533946359146277,-46.652728014164964,9,19,0.47368421052631576,0.5263157894736843,0.47368421052631576,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.711796550342654
510,399 - Divino Salvador,-23.6063581937549,-46.658132680469,12,15,0.8,0.19999999999999996,0.8,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.808142117246224
522,450 - Tabapuã,-23.583125061273908,-46.678414800463976,6,11,0.5454545454545454,0.4545454545454546,0.5454545454545454,-1,False,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,2.11894162111307
523,453 - Lopes Amaral,-23.5912197048481,-46.6771228501369,0,19,0.0,1.0,0.0,0,True,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,0.10867651531726685
525,469 - Insper - Uberabinha,-23.598937,-46.676138,0,19,0.0,1.0,0.0,0,True,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,0.10867651531726685
527,452 - Urussuí,-23.5848738708584,-46.6767011328237,1,11,0.09090909090909091,0.9090909090909091,0.09090909090909091,0,True,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.664396166567615
538,116 - Housi Faria Lima,-23.595770102430066,-46.680116396789536,2,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,-1,False,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,0.39439080103155255
551,451 - Clodomiro Amazonas,-23.5859675,-46.6793726,7,19,0.3684210526315789,0.631578947368421,0.3684210526315789,-1,False,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.9419081282901032
552,439 - Praça Faria Lima,-23.5935199,-46.6803285,1,19,0.05263157894736842,0.9473684210526316,0.05263157894736842,0,True,Vila Olímpia,39485,11500,3948.5,-0.10867651531726685,0.16130809426463527
